form	segmentation	feats
fogāda	fog+ādi-a	noun;ESS
fogāda	fog-ad-a	verb;ad;INT
fondurunnenna	fondur+o+ni-ne-e=nna	noun;RELAT.SG;DIR/LOC;3SG.ABS
fonuġunna	fonuġ+o+ni-na	noun;RELAT.PL.ABS
foride	for-ed-i	verb;FUT;ANTIP
forili	for-i-le	verb;MOD.AG;1JUSS
forima	fōri=ma	noun;ABS;CON
forima	for-i=ma	verb;ANTIP;CON
forivaenima	for-i-va-en-i=ma	verb;MOD.AG;NEG;3JUSS;EPNTH;CON
foruššuenim	foruššue+nni=m	noun;ABS;CON
foruššuenim	for-ušš-o-en-i=m	verb;ušš;MOD.PAT;3JUSS;EPNTH;CON
forāna	for+āna	noun;ABS
fouguġūm	fog-oġ-o-m	verb;oġ;TR.PFV;3A.SG
fovāi	fovi-ae	noun;INS
fudarinalla	fud+ar+i+nni-a=lla	noun;ESS;3PL.ABS
fudōštu	fud-ošt-o	verb;RES;MOD.PAT
fudōža	fud+ō+že-a	noun;ESS
fudōža	fud-ož-a	verb;PST;3A.SG
futkib	fut+ki-v	noun;2POSS.SG.ABS
futkina	fut+ki-na	noun;RELAT.PL.ABS
futkiž	fut+ki-i-ž	noun;3POSS.SG;ERG
fāra	fāri-a	noun;ESS
fāra	fār-a	verb;INT
fārie	fāri-e	noun;3POSS.SG.ABS
fārie	fār-i-en	verb;MOD.AG;3JUSS
fāzanigarvaž	fāzanigar-ve-až	noun;GEN;ERG
fāġadi	fāġadi	noun;ABS
fāġie	pāġi	noun;ABS
fāġra	faġri-a	noun;ESS
fāġri	faġri	noun;ABS
fāġri	faġr-i	verb;ANTIP
fāġruwāda	faġr+o+vāde-a	ADJ;ESS
fāġōža	faġ-ož-a	verb;PST;3A.SG
fāžanna	fāžani-na	noun;RELAT.PL.ABS
fāžanni	fāžani-ne	noun;ABL/INS
fāže	fāži	noun;ABS
fāžel	faž-i=l	verb;TR.IMP;3PL.ABS
fāžu	faž-u	verb;MED
fāžuž	fāži-ož	noun;EQU
fāžuž	faž-o-ež	verb;MOD.PAT;OPT
fāžīva	fāži-i-va	noun;3POSS.SG;DAT
fēlluža	fēll-ož-a	verb;PST;3A.SG
fēluž	fēl-o-ež	verb;MOD.PAT;OPT
fēnāna	fēn+ā+ni-a	noun;ESS
fēnāna	fēn-an-a	verb;an;INT
fēža	fē-ž-a	PRON;PL;DAT/ESS
fēžuda	fē-ž-oda	PRON;PL;DIR
fēḫḫēda	fēḫḫi-e-da	noun;3POSS.SG;DIR
fēḫḫēda	fēḫḫ-ed-a	verb;FUT;3A.SG
fōdu	fud-o	verb;MOD.PAT
fōri	fōri	noun;ABS
fōri	for-i	verb;ANTIP
fōrida	fōri-da	noun;DIR
fōriffān	fōri-iffe-a=an	noun;1POSS.SG;ESS;CON
fōril	fōri-i=l	noun;3POSS.SG.ABS;3PL.ABS
fōril	for-i=l	verb;ANTIP;3PL.ABS
fōrullažul	fōroli-na-až-ož=l	noun;RELAT.PL;PL;ERG;3PL.ABS
fōrulli	fōroli-ne	noun;ABL/INS
fōrullibina	fōroli-ne-ve-na	noun;RELAT.SG;GEN;RELAT.PL.ABS
fōrulžarražan	fōrol+žari-na-až-a=an	noun;RELAT.PL;PL;DAT/ESS;CON
fōrunziġi	fōrunz+i+ġe	noun;ABS
fōrālīnie	for+ali-i-ne	noun;3POSS.SG;ABL/INS
fōrālīzie	fōr+all+i+n+ze	noun;ABS
fōrīman	fōri-i=man	noun;3POSS.SG.ABS;CON
fōrīman	for-i=m=an	verb;ANTIP;2SG.ABS;CON
fūnuġōnži	fōnuġōn+že	noun;ABS
fūru	fūr-u	verb;MED
ibi	ibi	noun;ABS
ibim	ibi=m	noun;ABS;CON
ibima	ibi-i=ma	noun;3POSS.SG.ABS;CON
ibini	ibi-ne	noun;ABL/INS
ibradnanna	ibr+ad+n+a+ni-na	noun;RELAT.PL.ABS
ibrinnažuž	ever+ni-na-až-ož	noun;RELAT.PL;PL;ERG
ibrinza	evren+ze-a	noun;ESS
ibāi	ibi-ae	noun;INS
idarrāi	id-ar-i-l-ai	verb;ITER;MOD.AG;l;PURP
ide	idi	noun;ABS
ideb	idi-v	noun;2POSS.SG.ABS
ideba	idi-i-va	noun;3POSS.SG;DAT
idebuž	idi-v-ož	noun;2POSS.SG;ERG
ideda	idi-da	noun;DIR
idedi	id-ed-i	verb;FUT;ANTIP
idennanež	idenna-ne-ž	noun;RELAT.SG;ERG
idenni	idenni	noun;ABS
ideppa	idi-v-va	noun;2POSS.SG;DAT
ideppūda	idi-iffu-da	noun;1POSS.SG;DIR
idi	id-i	verb;ANTIP
idia	idi-i-a	noun;3POSS.SG;ESS
idia	id-i-a	verb;TR;3A.SG
idiaž	idi-i-až	noun;3POSS;PL.ABS
idibi	idi-i-ve	noun;3POSS.SG;GEN
idibuda	idi-v-oda	noun;2POSS.SG;DIR
idilānni	id-i-l-anni	verb;MOD.AG;l;DESID
idna	id+ni-a	noun;ESS
idni	id+ni	noun;ABS
idnib	id+ni-v	noun;2POSS.SG.ABS
idnida	id+ni-da	noun;DIR
idīe	id-i-en	verb;MOD.AG;3JUSS
igi	egi	POST
igi	igi	noun;ABS
igi	ig-i	verb;ANTIP
igiažama	egi-i-až-a=ma	noun;3POSS;PL;DAT/ESS;CON
igida	egi-da	noun;DIR
igina	igi-na	noun;RELAT.PL.ABS
igingališḫenāma	igingališ-ġe-na=ma	noun;ADJ;RELAT.PL.ABS;CON
igingališḫīnamma	igingališ-ġe-na=mma	noun;ADJ;RELAT.PL.ABS;CON
igingalīšša	igingališ-va	noun;DAT
igināžuž	igi-na-až-ož	noun;RELAT.PL;PL;ERG
igēnema	egi-ne-e=ma	noun;RELAT.SG;DIR/LOC;CON
ikkammašši	ikk+amm+a+šše	noun;ABS
ila	ili-a	noun;ESS
ila	il-a	verb;INT
ilamdōġi	ilamd+ō+ġe	noun;ABS
ileška	ileški-a	noun;ESS
ileška	il-ešk-a	verb;ešk;INT
illaiaġe	illaia-ġe	noun;ADJ.ABS
ilāvān	ilāvā-a=an	noun;ESS;CON
ilōllanna	ilōllani-na	noun;RELAT.PL.ABS
immandena	immande-na	noun;RELAT.PL.ABS
immarda	immarde-a	noun;ESS
immarrida	immari-ne-da	noun;RELAT.SG;DIR
immarvaġināže	immarvaġe-na-až-ve	noun;RELAT.PL;PL;GEN
immaškun	immašku=n	noun;ABS;3SG.ABS
indannim	ind+a+ni-ne-e=m	noun;RELAT.SG;DIR/LOC;CON
indannim	ind-i-anni=m	verb;MOD.AG;DESID;CON
inibāi	ini-ve-ae	noun;GEN;INS
iningaldāe	ennigaldi-ae	noun;INS
initḫarra	in+i+tḫ+ar+i-na	noun;RELAT.PL.ABS
inu	inu	CONJ
inuma	inu=ma	CONJ;CON
inumma	inu=mma	CONJ;2SG.ABS
inumē	inu=mē	CONJ;3SG.ABS
inutta	inu=tta	CONJ;1SG.ABS
inzarra	en+zari-na	noun;RELAT.PL.ABS
inġad	inġi-a=d	noun;ESS;1SG.ABS
inġad	inġ-a=d	verb;INT;1SG.ABS
inġara	inġ+ar+i-a	noun;ESS
inūru	in-ur-o	verb;ur;MOD.PAT
iraden	erade-n	noun;ABL/INS
iraden	ir-ad-i-en	verb;ad;MOD.AG;3JUSS
iraduž	erade-ož	noun;EQU
irbīnāža	ervi-na-až-a	noun;RELAT.PL;PL;DAT/ESS
irde	irde	noun;ABS
irdeda	irde-da	noun;DIR
irdi	irde-i	noun;3POSS.SG.ABS
irdi	ird-i	verb;ANTIP
irdib	irde-v	noun;2POSS.SG.ABS
irdīž	irde-i-ž	noun;3POSS.SG;ERG
irdōvānninibi	irdōv+ā+nni-ne-ve	noun;RELAT.SG;GEN
irialzi	irial+zi	noun;ABS
irna	irn-a	verb;INT
irveniž	ervi-ne-ž	noun;RELAT.SG;ERG
irġāri	irġāri	noun;ABS
issēdi	iss-ed-i	verb;FUT;ANTIP
itka	itk-a	verb;INT
itkaišša	itk-i-ai-ž=nna	verb;MOD.AG;PURP;ž;3SG.ABS
itkalza	itkal+zi-a	noun;ESS
itkalzai	itkal+zi-ae	noun;INS
itkalzi	itkal+zi	noun;ABS
itkalzibinažadel	itkal+zi-ve-na-až-a=dil	noun;GEN;RELAT.PL;PL;DAT/ESS;1PL.ABS
itkalzibināža	itkal+zi-ve-na-až-a	noun;GEN;RELAT.PL;PL;DAT/ESS
itkalzibāi	itkal+zi-ve-ae	noun;GEN;INS
itkalzinibi	itkal+zi-ne-ve	noun;RELAT.SG;GEN
itkalzinibina	itkal+zi-ne-ve-na	noun;RELAT.SG;GEN;RELAT.PL.ABS
itkalzinibinažuž	itkal+zi-ne-ve-na-až-ož	noun;RELAT.SG;GEN;RELAT.PL;PL;ERG
itkalzinibinež	itkal+zi-ne-ve-ne-ž	noun;RELAT.SG;GEN;RELAT.SG;ERG
itkalzinivināžummin	itkal+zi-ne-ve-na-až-ož=mma=an	noun;RELAT.SG;GEN;RELAT.PL;PL;ERG;2SG.ABS;CON
itkannim	itk-i-anni=m	verb;MOD.AG;DESID;2SG.ABS
itkanzalla	itkan+zi-a=lla	noun;ESS;3PL.ABS
itkašta	itk-ašt-a	verb;RES;INT
itkaštab	itk-ašt-a-b	verb;RES;INT;b
itkaštib	itk-ašt-i-b	verb;RES;ANTIP;b
itkian	itk-i-a=an	verb;TR;3A.SG;CON
itkiaž	itk-i-a-ž	verb;TR;3A;PL
itkidannim	itk-id-anni=m	verb;PL.A;DESID;2SG.ABS
itkidu	itk-id-o	verb;PL.A;TR.PFV
itkinduž	itk-ind-o-ež	verb;PL.A;MOD.AG;OPT
itkudutki	itk+ud+ut+ki	noun;ABS
itkula	itk-ol-a	verb;ol;3A.SG
itkulda	itk-ol-d-a	verb;ol;PL.A;3A
itkulimašši	itk+ul+i+m+a+šše	noun;ABS
itkulundašši	itk-ol-u-nd-a-šše	verb;ol;MED;PL.A;3A;NMLZ.ABS
itkulāež	itk-o-l-ai-ž	verb;MOD.PAT;l;PURP;ž
itkulāuž	itk-ol-aw-ž	verb;ol;1A;PL
itkulēž	itk-o-l-ež	verb;MOD.PAT;l;OPT
itkummi	itk-umme	verb;INF.ABS
itkundaššinama	itk-u-nd-a-šše-na=ma	verb;MED;PL.A;3A;NMLZ;RELAT.PL.ABS;CON
itkundaššinamma	itk-u-nd-a-šše-na=mma	verb;MED;PL.A;3A;NMLZ;RELAT.PL.ABS;CON
itkundōri	itk+und+o+re	ADJ;ABS
itkurinella	itk-o-re-ne-e=lla	verb;PAT;PTCP;RELAT.SG;DIR/LOC;3PL.ABS
itkuštum	itk-ušt-o-m	verb;RES;TR.PFV;3A.SG
itkuž	itk-o-ež	verb;MOD.PAT;OPT
itkužalla	itk-o-ež-a=lla	verb;MOD.PAT;OPT;EPNTH;3PL.ABS
itkužellandin	itk-ož-ill-and-i-n	verb;ož;ill;PL.A;MOD.AG;n
itkāl	itk-a=l	verb;INT;3PL.ABS
itkōli	itk-ol-i	verb;ol;ANTIP
itkōlāi	itk-o-l-ai	verb;MOD.PAT;l;PURP
itkōža	itk-ož-a	verb;PST;3A.SG
itta	itt-a	verb;INT
ittili	itt-i-le	verb;MOD.AG;1JUSS
ittilāe	itt-i-l-ai	verb;MOD.AG;l;PURP
ittūbin	ittūbi-n	noun;ABL/INS
ittūbin	itt-o-va-en	verb;MOD.PAT;NEG;3JUSS
itḫiniž	itḫi-ne-ž	noun;RELAT.SG;ERG
ivi	ivi	noun;ABS
ivi	iv-i	verb;TR.IMP
ivā	ivi-a	noun;ESS
ivā	iv-a	verb;INT
izuziva	izuzi-i-va	noun;3POSS.SG;DAT
izōzi	izuzi	noun;ABS
izūza	izuzi-a	noun;ESS
iġarā	iġari-a	noun;ESS
iġārrin	iġari-ne-n	noun;RELAT.SG;ABL/INS
iġōffōr	iġ-o-vor	verb;INT;NEG
iška	iški-a	noun;ESS
iška	išk-a	verb;INT
iškidu	išk-id-o	verb;PL.A;TR.PFV
iškiniaž	iški+ni-i-až	noun;3POSS;PL.ABS
iškinna	iški+ni-na	noun;RELAT.PL.ABS
iškinna	išk-i=nna	verb;ANTIP;3SG.ABS
ištani	ištani	PREP
ištani	ištani	noun;ABS
ištanida	ištani-i-da	noun;3POSS.SG;DIR
ištanin	ištani-n	noun;ABL/INS
ištanīma	ištani-i=ma	noun;3POSS.SG.ABS;CON
ište	ište	PRON;ABS
išten	ište=n	PRON;ABS;CON
išteni	išteni	PREP
išteniffāmma	išteni-iffe-a=mma	noun;1POSS.SG;ESS;2SG.ABS
ištennanan	ište=nna=nan	PRON;3SG.ABS;CON
ištennanan	išteni-na=nan	noun;RELAT.PL.ABS;CON
išti	ištani-i	verb;ANTIP
ištuma	ištumi-a	noun;ESS
ištuma	ištani-o-m=ma	verb;TR.PFV;3A.SG;CON
ištāni	ištani	POST
ištānīffāl	ištani-iffe-a=l	noun;1POSS.SG;ESS;3PL.ABS
išḫara	išḫara	noun;ABS
išḫaran	išḫara=an	noun;ABS;CON
išḫuniba	išḫoni-va	noun;DAT
iža	iža	noun;ABS
iža	iž-a	verb;INT
ižammi	iža+mme	noun;ABS
ižammēni	iža+mme-ne	noun;ABL/INS
ižarriva	iž+ar+i-ne-va	noun;RELAT.SG;DAT
ižaž	iž-až	PRON;ERG
ižena	iže-na	noun;RELAT.PL.ABS
iži	iži	noun;ABS
iži	iž-i	verb;ANTIP
ižibāi	iži-ve-ae	noun;GEN;INS
ižibāin	iži-ve-ae=n	noun;GEN;INS;3SG.ABS
ižikkunna	iž+ikk+o+nni-a	noun;ESS
ižinež	iži-ne-ž	noun;RELAT.SG;ERG
ižinibāin	iži-ne-ve-ae=n	noun;RELAT.SG;GEN;INS;3SG.ABS
ižuġna	ižuġ+ni-a	noun;ESS
ižuġnai	ižuġ+ni-ae	noun;INS
ižuštel	iž-o-ež=dil	verb;MOD.PAT;OPT;1PL.ABS
ižāvena	iža-ve-na	noun;GEN;RELAT.PL.ABS
ižīma	iži-i=ma	noun;3POSS.SG.ABS;CON
ižīma	iž-i=ma	verb;ANTIP;CON
ižīmāin	iž-i+m+ai-n	verb;CVB;n
kaballiž	kabli-ne-ž	noun;RELAT.SG;ERG
kablāi	kabli-ae	noun;INS
kablāi	kabl-i-ai	verb;MOD.AG;PURP
kadenduž	kad-ind-o-ež	verb;PL.A;MOD.PAT;OPT
kadi	kadi	noun;ABS
kadi	kad-i	verb;ANTIP
kadia	kad-i-a	verb;TR;3A.SG
kadib	kadi-v	noun;2POSS.SG.ABS
kadib	kad-i-b	verb;ANTIP;b
kadilli	kad-il-i-le	verb;il;MOD.AG;1JUSS
kadilēž	kad-i-l-ež	verb;MOD.AG;l;OPT
kadimma	kad-i=mma	verb;ANTIP;2SG.ABS
kadiōššina	kad-i-o-šše-na	verb;TR;2A.SG;NMLZ;RELAT.PL.ABS
kadulen	kad-ol-i-en	verb;ol;MOD.AG;3JUSS
kadulli	kad-ol-i-le	verb;ol;MOD.AG;1JUSS
kadānu	kad-an-o	verb;an;MOD.PAT
kadīw	kad-i-o	verb;TR;2A.SG
kaganidama	kaġ+a+ni-da=ma	noun;DIR;CON
kaiġida	ka+i+ġe-da	noun;DIR
kakkara	kakkari-a	noun;ESS
kakkari	kakkari	noun;ABS
kakkariani	kakkari-i-ane	noun;3POSS.SG;ABL/INS
kalbuġēda	kalb-oġ-ed-a	verb;oġ;FUT;3A.SG
kalgamižul	kalgamiž-ož=l	noun;ERG;3PL.ABS
kaliani	kāli-i-ane	noun;3POSS.SG;ABL/INS
kalōvadi	kal-o-vade	noun;PAT;ADJ.NEG.ABS
kalūwa	kal-u-a	noun;MED;3A.SG
kamallenna	kamali-ne-nna	noun;RELAT.SG;EQU2
kammanġiani	kamm+an+ġe-i-ane	noun;3POSS.SG;ABL/INS
kammaḫḫinež	kamm+a+ḫḫe-ne-ž	noun;RELAT.SG;ERG
kammiššōri	kammiššōri	noun;ABS
kamveda	kamve-da	noun;DIR
kamveda	kamv-i-d-a	verb;TR;PL.A;3A
kamēnež	kamme-ne-ž	noun;RELAT.SG;ERG
kanagitḫi	kanagitḫe	noun;ABS
kangalbālla	kangalvi-a=lla	noun;ESS;3PL.ABS
kanzukkam	kanz-o-kko=m	verb;INT;NEG;2SG.ABS
kanāgiž	kan+āg-i-ež	verb;MOD.AG;OPT
kanāgiža	kan+āg-iž-a	verb;iž;INT
kappilivaž	kapp-i-l-eva-ž	verb;MOD.AG;l;POT;ž
kapša	kapši-a	noun;ESS
kapša	kapš-a	verb;INT
kapšalla	kapšalla	noun;ABS
kapšinina	kapši-ne-nna	noun;RELAT.SG;EQU2
kapšuġāl	kapš+o+ġe-a=l	noun;ESS;3PL.ABS
kapšuġāl	kapš-oġ-a=l	verb;oġ;3A.SG;3PL.ABS
kapšuġāma	kapš+o+ġe-a=ma	noun;ESS;CON
kapšuġāma	kapš-oġ-a=ma	verb;oġ;3A.SG;CON
karapteda	karapte-da	noun;DIR
karapteda	kar+apt-ed-a	verb;FUT;3A.SG
kargāni	karg+ā+ni	noun;ABS
karinež	kare-ne-ž	noun;RELAT.SG;ERG
karižīda	kariži-i-da	noun;3POSS.SG;DIR
karēnažuž	kare-na-až-ož	noun;RELAT.PL;PL;ERG
karži	karži	noun;ABS
karžib	karži-v	noun;2POSS.SG.ABS
karžida	karži-da	noun;DIR
katki	kat+ki	noun;ABS
katkinažuž	kat+ki-na-až-ož	noun;RELAT.PL;PL;ERG
katkini	kat+ki-ne	noun;ABL/INS
katkāi	kat+ki-ae	noun;INS
katta	kad-id-en	verb;PL.A;3JUSS
kaškan	kaška=an	noun;ABS;CON
kašti	kašti	noun;ABS
kašti	kaš-d-i	verb;d;ANTIP
kažalla	kažli-na	noun;RELAT.PL.ABS
kažalla	kāž-a=lla	verb;INT;3PL.ABS
kažiari	kažiari	noun;ABS
kažiarrinel	kažiari-ne-ne=l	noun;RELAT.SG;ABL/INS;3PL.ABS
kažidabima	kažidabi=ma	noun;ABS;CON
kažinibād	kāze-ne-va=d	noun;RELAT.SG;DAT;1SG.ABS
kažla	kažli-a	noun;ESS
kažla	kažl-a	verb;INT
kažlulaiž	kažl-o-l-ai-ž	verb;MOD.PAT;l;PURP;ž
kažlulam	kažl-ol-a=m	verb;ol;INT;2SG.ABS
kažlulēž	kažl-o-l-ež	verb;MOD.PAT;l;OPT
kažluwa	kažl-u-a	verb;MED;3A.SG
kažluž	kažl-o-ež	verb;MOD.PAT;OPT
kažlužellandin	kažl-ož-ill-and-i-n	verb;ož;ill;PL.A;MOD.AG;n
kažlōža	kažl-ož-a	verb;PST;3A.SG
kelde	kel+di	noun;ABS
kelde	kēl-d-i	verb;d;ANTIP
keldiani	kel+di-i-ane	noun;3POSS.SG;ABL/INS
keldinibāe	kel+di-ne-ve-ae	noun;RELAT.SG;GEN;INS
keldāi	kel+di-ae	noun;INS
kenna	keni-na	noun;RELAT.PL.ABS
kešše	kešše	noun;ABS
keššenidal	kešše-ne-da=l	noun;RELAT.SG;DIR;3PL.ABS
keššeniva	kešše-ne-va	noun;RELAT.SG;DAT
keššenišša	kešše-ne-ž=nna	noun;RELAT.SG;ERG;3SG.ABS
keššenīel	kešše-ne-ž=l	noun;RELAT.SG;ERG;3PL.ABS
keššippan	kešše=ffa=an	noun;ABS;2PL.ABS;CON
kešḫenāži	kešḫi-na-až-ve	noun;RELAT.PL;PL;GEN
kešḫi	kešḫi	noun;ABS
kešḫidan	kešḫi-dan	noun;ABL
kešḫini	kešḫi-ne-e	noun;RELAT.SG;DIR/LOC
kešḫīda	kešḫi-i-da	noun;3POSS.SG;DIR
kiaženidan	kiaže-ne-da=an	noun;RELAT.SG;DIR;CON
kiaži	kiaže	noun;ABS
kibašši	kev+a+šše	noun;ABS
kibašši	kev-a-šše	verb;INT;NMLZ.ABS
kibe	kippe	noun;ABS
kibe	kev-e	verb;STAT
kibi	kevi	noun;ABS
kibibād	kev-i-b-a=d	verb;ANTIP;b;EPNTH;1SG.ABS
kibli	keb+li	noun;ABS
kibridadel	kibridi-a=dil	noun;ESS;1PL.ABS
kibulaēšša	kev-o-l-ai-ž=nna	verb;MOD.PAT;l;PURP;ž;3SG.ABS
kibuppu	kev-uffu	verb;1A.SG.NEG
kibure	kev+o+re	noun;ABS
kibōliž	kev-o-l-ež	verb;MOD.PAT;l;OPT
kigaduwamma	kig-ad-u-a=mma	verb;ad;MED;3A.SG;2SG.ABS
kiglibadallin	kiglibadalli=n	noun;ABS;3SG.ABS
kikkunima	kikk+o+ni=ma	noun;ABS;CON
kikkunimma	kikk+o+ni=mma	noun;ABS;2SG.ABS
kikkuġēda	kikk-oġ-ed-a	verb;oġ;FUT;3A.SG
kiligileštum	keli+gel-išt-o-m	verb;RES;TR.PFV;3A.SG
kiluffa	kēl-uff-a	verb;uff;3A.SG
kilum	kēl-o=m	verb;MOD.PAT;2SG.ABS
kilānab	kil+ān-a-b	verb;INT;b
kilānež	kil+ān-i-ež	verb;MOD.AG;OPT
kilōlu	kēl-ol-o	verb;ol;MOD.PAT
kilūni	kil+ōn-i	verb;ANTIP
kinnāri	kinn+ār+i	noun;ABS
kinnāri	kinn-ar-i	verb;ITER;ANTIP
kināe	kini-ae	noun;INS
kināe	kin-i-ai	verb;MOD.AG;PURP
kippinež	kippi-ne-ž	noun;RELAT.SG;ERG
kippēna	kippe-na	noun;RELAT.PL.ABS
kiptaneda	kip-d-an-ed-a	verb;d;an;FUT;3A.SG
kiraraštum	kir-ar-ašt-o-m	verb;ITER;RES;TR.PFV;3A.SG
kirarinna	kir+ar+i+nni-a	noun;ESS
kirarinni	kir+ar+i+nni	noun;ABS
kirarinnilam	kir+ar+i+nni-i=l=m	noun;3POSS.SG.ABS;3PL.ABS;CON
kirarnež	kir+ari+ni-i-ž	noun;3POSS.SG;ERG
kirarni	kir+ari+ni	noun;ABS
kirašši	ker+a+šše	ADJ;ABS
kiraššulaēž	kir+ašš-o-l-ai-ž	verb;MOD.PAT;l;PURP;ž
kiražima	ker+ā+že=ma	ADJ;ABS;CON
kirenze	kire+n+ze	noun;ABS
kirinida	kire-ne-da	noun;RELAT.SG;DIR
kirmana	kir+man-a	NUM;ESS
kirmānzeni	kir+mān+ze-ne-e	NUM;RELAT.SG;DIR/LOC
kirulēž	kir-o-l-ež	verb;MOD.PAT;l;OPT
kirunna	kir-o=nna	verb;MOD.PAT;3SG.ABS
kirāe	kiri-ae	noun;INS
kirāži	ker+ā+že	ADJ;ABS
kirētte	kerētte	ADJ;ABS
kirġe	kirġe	noun;ABS
kirġivi	kirġe-ve	noun;GEN
kiverra	kevri-na	noun;RELAT.PL.ABS
kivirāžan	kevri-na-až-a=n	noun;RELAT.PL;PL;DAT/ESS;3SG.ABS
kivori	kev-o-re	verb;PAT;PTCP.ABS
kivožuž	kev+o+že-ož	noun;EQU
kivožuž	kev-ož-o-ež	verb;ož;MOD.PAT;OPT
kivudu	kev-ud-u	verb;ud;MED
kivērāšta	kevri-na-až-da	noun;RELAT.PL;PL;DIR
kivōrġēnivōž	kiv+ōr+ġē-ne-ve-ož	noun;RELAT.SG;GEN;EQU
kiāžēni	kiaže-ne	noun;ABL/INS
kiġenež	kiġe-ne-ž	noun;RELAT.SG;ERG
kiškižiaššenina	kiš+kiž+i+a+šše+ni-na	noun;RELAT.PL.ABS
kiššen	kešše=n	noun;ABS;3SG.ABS
kišḫi	kešḫ-i	verb;ANTIP
kišḫiažal	kešḫi-i-až-a=l	noun;3POSS;PL;DAT/ESS;3PL.ABS
kišḫida	kešḫi-da	noun;DIR
kišḫiden	kešḫ-id-en	verb;PL.A;3JUSS
kišḫin	kešḫi-n	noun;ABL/INS
kišḫini	kešḫi-ne	noun;ABL/INS
kišḫinin	kešḫi-ne-n	noun;RELAT.SG;ABL/INS
kišḫiža	kešḫ-iž-a	verb;iž;INT
kižarženež	kiž+ar+že-ne-ž	noun;RELAT.SG;ERG
kižipsōvāe	kižipsōvae	noun;ABS
kubababāi	kubaba-ve-ae	noun;GEN;INS
kubaġāe	kubaġi-ae	noun;INS
kubaġāe	kub-aġ-i-ai	verb;aġ;MOD.AG;PURP
kubāġinel	kubāġi-ne-e=l	noun;RELAT.SG;DIR/LOC;3PL.ABS
kudukku	kud-o-kko	verb;INT;NEG
kudunib	kuduni-v	noun;2POSS.SG.ABS
kula	kuli-a	noun;ESS
kula	kol-a	verb;INT
kulamudutki	kul+am+ud+ut+ki	noun;ABS
kulamudutkāi	kul+am+ud+ut+ki-ae	noun;INS
kulamurnella	kulamur+ni-i=lla	noun;3POSS.SG.ABS;3PL.ABS
kulamōrrinibi	kul+am+ō+rre-ne-ve	noun;RELAT.SG;GEN
kulamū	kul-am-aw	verb;FACT;1A.SG
kuldim	kul-d-i=m	verb;d;TR.IMP;2SG.ABS
kuldubin	kuldubi-n	noun;ABL/INS
kuldum	kul-d-o=m	verb;d;MOD.PAT;CON
kulimmāššōḫḫa	kul+i+mm+ā+šš+ō+ḫḫe-a	noun;ESS
kulimāššināža	kul+i+m+ā+šše-na-až-a	noun;RELAT.PL;PL;DAT/ESS
kuliġiani	kul+i+ġe-i-ane	noun;3POSS.SG;ABL/INS
kullāe	kol-i-l-ai	verb;MOD.AG;l;PURP
kulmu	kulm-o	verb;MOD.PAT
kulmuppa	kulm-upp-a	verb;upp;3A.SG
kulmuri	kulm+o+re	noun;ABS
kulmurina	kulm+o+re-na	noun;RELAT.PL.ABS
kulmurri	kulm+o+re-ne	noun;ABL/INS
kulmōrrin	kulmōri-ne-n	noun;RELAT.SG;ABL/INS
kulumbi	kulumbi	noun;ABS
kulumbi	kul+u+mb-i	verb;ANTIP
kulužašši	kul-ož-a-šše	verb;PST;3A.SG;NMLZ.ABS
kulvenāma	kulve-na=ma	noun;RELAT.PL.ABS;CON
kulzinež	kulzi-ne-ž	noun;RELAT.SG;ERG
kulziž	kulzi-i-ž	noun;3POSS.SG;ERG
kulōrum	kul-ur-o-m	verb;ur;TR.PFV;3A.SG
kumarbi	kumarve	noun;ABS
kumarbinive	kumarve-ne-ve	noun;RELAT.SG;GEN
kumarbiž	kumarve-ž	noun;ERG
kumarvenel	kumarve-ne-ž=l	noun;RELAT.SG;ERG;3PL.ABS
kumarvenella	kumarve-ne-ž=lla	noun;RELAT.SG;ERG;3PL.ABS
kumarvenež	kumarve-ne-ž	noun;RELAT.SG;ERG
kumdi	kūm+de	noun;ABS
kummenive	kumme+ne-ve	noun;GEN
kummini	kumme+ne	noun;ABS
kumminim	kumme+ne=m	noun;ABS;CON
kumminivož	kumme+ne-ve-ž	noun;GEN;ERG
kummōġi	kumm+ō+ġe	ADJ;ABS
kumri	kumri	noun;ABS
kumrie	kumri-e	noun;3POSS.SG.ABS
kumruḫḫāl	kumr+o+ḫḫe-a=l	noun;ESS;3PL.ABS
kundari	kundari	noun;ABS
kundarrin	kundari-ne-n	noun;RELAT.SG;ABL/INS
kundi	kunde	noun;ABS
kundi	kund-i	verb;ANTIP
kundāri	kundāri	noun;ABS
kundārrin	kundāri-ne-n	noun;RELAT.SG;ABL/INS
kungallē	kungallē	noun;ABS
kuniniba	kune-ne-va	noun;RELAT.SG;DAT
kuninibi	kune-ne-ve	noun;RELAT.SG;GEN
kunzimai	kunz-i+m+ai	verb;CVB
kurannia	kur+a+nni-i-a	noun;3POSS.SG;ESS
kurannia	kur-ann-i-a	verb;ann;TR;3A.SG
kuraḫḫa	kur+a+ḫḫe-a	noun;ESS
kuraḫḫi	kur+aḫḫ+i	noun;ABS
kurgōrveašša	kurgōrvi-i-až=nna	noun;3POSS;PL.ABS;3SG.ABS
kuruppa	kuruppi-a	noun;ESS
kuruppa	kur-upp-a	verb;upp;INT
kutkūda	kut+kūdi-a	noun;ESS
kutkūda	kut+kūd-a	verb;3A.SG
kuttae	kutte-ae	noun;INS
